name,pa,single,double,triple,home_run,strikeout,walk,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,r_total_caught_stealing,r_total_stolen_base,b_hit_ground,b_hit_fly,b_hit_line_drive,b_out_fly,b_out_ground,b_out_line_drive,b_out_popup,exit_velocity_avg,launch_angle_avg,barrel,barrel_batted_rate,hard_hit_percent,straightaway_percent,linedrives_percent,hp_to_1b,sprint_speed,Dir,ER,ZR,infield,outfield,Both
Dylan Carlson,255,34,8,1,5,49,26,0.219,0.333,0.318,0.651,0,3,14,9,25,37,62,13,13,89.3,15,10,5.8,37.6,41.6,22,4.39,27.6,S,0.00709219858156028,0.993,FALSE,TRUE,FALSE
Vinnie Pasquantino,260,31,17,0,9,31,25,0.247,0.437,0.324,0.761,0,0,13,15,29,42,61,25,16,89.3,17.4,15,7.5,40.3,38.3,26.9,4.64,25.8,L,0.00323624595469256,0.997,TRUE,FALSE,FALSE
Lenyn Sosa,173,21,6,0,6,40,5,0.201,0.348,0.224,0.572,1,0,9,8,16,26,45,16,8,89.4,14.1,10,7.8,38.3,32.8,25,4.62,27.6,R,0.0441176470588235,0.983,TRUE,FALSE,FALSE
Nelson Cruz,152,24,5,1,5,46,6,0.245,0.399,0.283,0.682,0,1,14,5,16,17,32,9,5,92.4,10.2,9,9.2,48,37.8,25.5,4.91,24.7,R,0,1.000,TRUE,FALSE,FALSE
Trevor Story,168,20,9,0,3,55,9,0.203,0.316,0.250,0.566,3,10,9,7,16,19,32,11,9,88.5,15.5,10,9.7,39.8,36.9,26.2,4.32,28.8,R,0.0512820512820513,0.986,TRUE,FALSE,FALSE
Luis Arraez,617,160,30,3,10,34,35,0.354,0.469,0.393,0.862,2,3,59,25,119,106,174,51,10,88.3,11.5,19,3.5,25.7,41.2,31.3,4.57,26.1,L,0.25,0.900,TRUE,FALSE,FALSE
Matt Olson,720,88,27,3,54,167,104,0.283,0.604,0.389,0.993,0,1,47,58,67,95,125,25,26,93.7,16.1,73,16.4,55.5,40.2,20.9,4.64,26.2,L,0.0067001675041876,0.994,TRUE,FALSE,FALSE
Rene Pinto,105,17,3,0,6,34,2,0.252,0.456,0.267,0.723,0,0,5,6,15,16,17,6,4,90.5,16.9,11,15.9,40.6,30.4,30.4,4.54,26.9,R,0,1.000,TRUE,FALSE,FALSE
LaMonte Wade,519,77,14,2,17,95,76,0.256,0.417,0.373,0.790,0,2,34,26,50,72,101,30,28,88.4,17.4,31,9.1,39.8,30.7,23.7,4.62,26.0,L,0.0112612612612613,0.990,FALSE,FALSE,TRUE
Daulton Varsho,581,70,23,3,20,135,45,0.220,0.389,0.285,0.674,7,16,39,24,53,99,103,30,46,87.8,20.5,29,7.3,36.1,30.6,21.5,4.33,28.1,L,0.00320512820512821,0.997,FALSE,TRUE,FALSE
