Name,PA,1B,2B,3B,HR,BB,SO,SB,CS,Dir
Jakey Josepha,137,27,4,1,3,22,35,8,4,
Javier Mogollon,199,30,10,2,10,27,28,11,2,
Kevin McGonigle,93,18,4,0,1,18,10,8,5,L
Edward Duran,154,31,7,0,2,24,20,1,1,
Murphy Stehly,270,58,13,1,2,23,47,10,5,
Cherif Neymour,134,27,4,2,1,19,24,18,1,
Davis Bradshaw,335,77,10,4,3,23,59,3,4,
Derek Hill,375,70,18,6,11,31,70,17,5,
Angel Cruz,163,29,9,0,6,12,30,7,3,
Kaden Hollow,47,7,3,0,1,11,9,0,1,
Andrew Jenkins,374,88,11,3,2,34,100,4,1,
Luis Vicioso,173,35,10,3,1,13,32,2,2,
Raylin Heredia,237,43,12,5,5,23,65,11,3,
Estanlin Cassiani,191,39,12,1,1,19,29,5,1,
Modeifi Marte,204,34,11,3,5,25,28,4,1,
Elias Medina,176,28,9,3,7,16,37,16,5,
Miguel Briceno,89,22,4,0,0,5,12,3,2,
Branny De Oleo,191,34,12,3,3,14,18,6,1,
Ariel Lebron,131,28,1,2,0,13,21,5,6,
Geyber Blanco,133,21,15,0,0,9,28,2,1,
Darick Hall,343,61,12,1,18,43,65,0,0,
Bob Seymour,340,61,13,1,17,39,92,1,1,
Jancel Villarroel,200,32,14,0,5,28,32,6,4,
Diego Castillo,556,105,33,1,3,97,79,13,10,
Samuel Basallo,483,78,26,7,20,61,94,12,5,L
Tyler Payne,157,30,11,0,4,11,32,0,0,
Nelson Cruz,17,3,1,0,1,0,3,0,0,
Moises Paiva,97,21,2,1,1,14,15,13,2,
Daniel Bruzual,159,34,9,2,0,11,35,4,2,
Carlos Cauro,180,27,12,0,6,29,43,1,0,
Alcides Hernandez,63,15,0,0,0,15,8,4,1,
Armando Alvarez,329,53,18,1,18,34,51,9,1,
Blake Dunn,559,98,17,5,23,62,130,54,7,
Phillip Evans,590,113,24,2,11,92,75,2,2,
Kyle Nevin,209,40,11,2,5,20,47,3,4,
Brady House,374,70,21,3,12,26,89,9,2,R
Geury Estevez,180,38,5,3,2,20,23,3,0,
Lisbel Diaz,88,19,2,0,3,7,10,1,3,
Camden Duzenack,318,58,18,0,10,27,56,4,6,
Josiah Sightler,264,50,7,0,14,25,57,2,0,
Derek Bernard,180,26,11,3,7,26,32,17,3,
Athanael Duarte,169,37,7,0,3,12,19,9,0,
Brock Rodden,164,32,11,2,2,11,26,2,1,
Mario Baez,206,44,7,2,3,20,25,24,5,
Casey Yamauchi,55,12,2,0,0,7,6,4,1,
George Lombard,58,12,2,0,0,13,12,4,2,R
Ali Sanchez,267,53,10,0,11,26,42,0,3,
Jostyn Almonte,185,30,9,1,6,29,42,14,4,
Keston Hiura,378,65,13,0,23,32,91,0,2,
Abrahan Ramirez,136,27,4,0,1,31,19,14,3,
Pedro Ibarguen,167,30,7,1,3,25,32,7,7,
Jesus Rodriguez,460,89,20,4,9,55,70,21,4,
Rangel Ravelo,258,46,9,0,8,42,36,0,0,
Daniel Lopez,174,30,7,5,3,23,40,8,4,
Will King,37,7,1,0,1,6,6,1,0,
Phillip Glasser,71,14,3,0,1,11,6,5,1,
Jorge Hernandez,152,32,7,1,0,14,29,4,2,
Carlos Caro,159,26,8,1,5,20,33,11,5,
Nomar Velasquez,133,29,5,1,0,19,24,21,3,
Jared Young,376,57,16,2,21,50,84,7,3,
Kelvin HIdalgo,239,37,8,4,12,29,47,14,1,
Jesus Ortega,53,9,3,1,0,9,14,0,0,
Alexander Albertus,170,29,5,0,5,38,19,9,6,
Michael Turner,377,63,26,1,4,64,58,0,2,
Enyervert Perez,73,13,5,0,3,2,20,1,1,
Kristian Campbell,84,14,4,2,1,10,18,3,3,R
Edinson Duran,123,24,5,2,2,9,17,2,0,
Miguel Hernandez,120,25,3,1,4,11,23,4,1,
TJ Hopkins,393,67,18,1,16,55,94,2,3,
Kyle Farmer,15,1,2,0,1,2,4,0,0,
Sam Hilliard,16,4,0,0,0,3,5,0,0,
Blake Perkins,182,28,14,2,4,24,39,5,2,
Mickey Moniak,141,25,2,5,8,7,35,2,1,
Santiago Espinal,15,3,1,0,0,2,2,1,0,
Jordan Diaz,169,29,13,0,6,10,30,0,1,
Seiya Suzuki,15,3,0,0,1,1,2,0,0,
Graham Pauley,551,88,32,5,23,60,93,22,5,L
Jairo Pomares,31,6,2,0,0,5,9,0,0,L
Satchell Norman,113,19,6,0,3,19,26,8,3,
Jayson Bass,170,37,5,1,1,22,24,12,7,
William Sullivan,119,23,6,2,1,15,24,2,1,
Buddy Kennedy,463,78,24,8,5,76,81,3,3,
Enmanuel Tejeda,217,39,4,3,5,44,44,24,6,R
Edward Vargas,155,29,8,5,1,11,16,6,7,
Enmanuel Bonilla,226,44,8,3,3,27,55,5,5,R
Julio Zayas,202,32,14,1,7,15,26,1,1,
Troy Johnston,600,90,36,5,26,62,108,24,2,
Christopher Familia,294,45,11,2,22,25,61,0,1,
Thomas Saggese,630,104,34,6,26,52,144,12,2,R
Dyan Jorge,309,61,16,3,3,32,47,19,2,R
Johan Rojas,354,64,20,5,9,24,59,30,8,
Yohel Pozo,391,69,26,0,18,18,40,2,0,
Trey Cabbage,474,70,25,3,30,45,142,32,3,
Nick Morabito,255,50,9,3,2,34,49,21,4,
Brenton Doyle,57,9,1,0,5,8,19,1,0,
Henry Davis,250,36,10,2,12,45,48,10,4,
Mark Vientos,269,33,21,1,16,29,58,0,0,
Reivaj Garcia,415,85,21,3,3,41,71,21,8,
Dario Laverde,167,27,9,4,1,28,31,7,3,
Jeral Toledo,151,23,9,3,2,24,25,11,4,
Colt Keith,577,87,38,3,27,60,121,3,2,L
Jarred Kelenic,43,7,3,0,1,6,11,1,0,
Jadher Areinamo,420,90,26,1,4,17,52,16,5,R
Junior Del Valle,83,18,3,0,1,6,15,7,4,
Adrian Perez,138,27,6,0,0,28,16,4,1,
P.J. Higgins,398,70,24,1,11,42,84,1,0,
Jeffrey Wehler,198,31,10,5,5,28,53,13,8,
Rafael Lantigua,578,90,40,0,12,98,107,28,9,
Rafael Marchan,224,39,14,3,2,26,23,1,2,
Jonah Bride,323,45,19,2,13,56,49,5,2,
JT Schwartz,296,56,17,2,4,32,49,4,0,
Yoyner Fajardo,527,103,23,8,9,50,84,50,13,
Yonathan Daza,181,37,10,1,2,9,24,4,3,
Jean Walters,180,34,12,2,2,14,30,2,1,
Jacob Young,496,100,21,5,6,42,70,39,7,
Elis Cuevas,217,37,14,4,2,23,41,17,5,
Erick Lara,154,27,8,2,2,23,37,5,1,
Zach Dezenzo,410,66,23,2,18,42,106,22,2,R
Austin Shenton,577,70,45,0,29,94,154,0,0,L
Yairo Munoz,54,10,4,0,0,6,11,0,0,
Freddy Fermin,58,7,2,0,5,11,9,0,0,
Esmerlyn Valdez,182,31,10,2,6,17,45,3,2,
Caleb Durbin,291,55,17,1,4,26,18,36,8,
Will Bush,32,4,2,0,1,7,8,0,0,
Jorge Caballero,379,77,18,3,3,41,92,8,3,
Zack Gelof,308,46,21,1,12,41,86,20,5,
Jorge Ruiz,342,65,19,3,3,28,54,13,4,L
Ryan Bliss,612,99,34,8,23,58,119,55,15,R
Carlos Virahonda,139,18,13,2,1,5,18,3,4,
Oswaldo Patino,80,14,2,1,0,20,8,2,1,
Oliver Carrillo,225,25,8,0,11,66,45,4,1,
Will McGillis,106,12,12,1,2,14,23,2,0,
Heliot Ramos,282,40,17,3,14,29,70,9,5,R
Felipe Valderrama,36,9,1,0,0,2,11,2,0,
Jack Moss,84,18,2,0,0,14,20,1,0,
Aidan Miller,80,16,3,1,0,12,15,4,1,R
Victor Scott,618,127,20,10,9,46,97,94,14,
Zach Kokoska,322,45,21,1,16,35,74,18,7,
Lazaro Montes,302,39,19,2,13,54,76,2,2,L
Heston Kjerstad,543,87,29,8,21,42,100,5,4,S
Alfredo Duno,195,30,9,1,6,38,41,6,0,R
Lewis Castillo,135,27,9,0,0,10,10,4,0,
Wynton Bernard,571,105,36,1,11,56,103,41,7,
Mike Ford,211,27,11,1,13,34,30,2,0,
Paul DeJong,49,8,3,0,2,5,15,0,0,
Juan Garcia,51,12,0,0,1,7,12,2,0,
Junior Manon,51,10,0,2,1,8,17,1,1,
Keaton Anthony,55,10,1,0,2,6,9,1,0,
Felix Taveras,112,21,5,2,1,13,22,3,1,
Charles McAdoo,114,20,3,1,5,17,22,5,2,
Michael Helman,166,25,11,2,7,11,24,8,1,
Jason Hinchman,195,27,16,2,3,29,47,6,2,
Ceddanne Rafaela,485,80,31,3,20,26,103,36,13,R
Yasmil Bucce,74,13,4,1,1,10,20,0,0,
Dru Baker,504,94,17,8,14,47,114,49,5,
Luis Castaneda,76,14,2,1,2,8,21,3,2,
Samad Taylor,414,66,23,4,8,66,85,43,10,R
Aldrin Lucas,95,16,5,0,1,18,18,5,0,
Leandro Alsinois,185,33,10,0,1,32,25,9,7,
Jesse Winker,108,17,4,0,4,25,15,0,3,
Yeiker Reyes,206,40,9,1,0,29,36,33,2,
Heriberto Rincon,196,41,7,1,1,23,39,17,3,
Leonel Espinoza,200,39,10,2,2,17,41,13,6,
Drew Mount,142,26,7,1,3,10,36,4,3,
Starlyn Caba,164,36,2,2,0,28,16,16,6,L
Cody Thomas,477,71,27,8,23,37,97,5,0,
Luis Frias,188,30,15,1,3,17,42,18,5,
Xavier Fernandez,396,59,30,0,15,41,62,0,1,
Daniel Susac,466,93,19,5,8,41,102,9,0,R
Everson Pereira,343,54,17,2,18,32,98,11,2,R
Colton Cowser,399,61,18,1,17,64,107,9,3,L
Trevor Story,48,4,4,0,4,7,13,1,0,
Travis Jankowski,12,2,1,0,0,2,3,0,0,
Nicky Lopez,13,2,1,0,0,3,1,1,0,
Casey Schmitt,217,42,13,1,4,14,44,3,1,
